Hyper-parameters:

  batch_size   16
  optimizer  adam
  lr           0.005
  lr_decrease_epoch 20
  lr_decrease_by    0.01


processing train1:

Epoch 46, train loss = 0.503, valid loss = 0.486, time 0m 9s
Epoch 47, train loss = 0.506, valid loss = 0.487, time 0m 9s
Epoch 48, train loss = 0.505, valid loss = 0.487, time 0m 9s
Epoch 49, train loss = 0.506, valid loss = 0.490, time 0m 9s
Epoch 50, train loss = 0.498, valid loss = 0.488, time 0m 9s
Epoch 51, train loss = 0.500, valid loss = 0.486, time 0m 9s
Epoch 52, train loss = 0.506, valid loss = 0.491, time 0m 9s
Epoch 53, train loss = 0.505, valid loss = 0.490, time 0m 9s
Epoch 54, train loss = 0.507, valid loss = 0.489, time 0m 9s
Epoch 55, train loss = 0.494, valid loss = 0.487, time 0m 9s
Epoch 56, train loss = 0.506, valid loss = 0.491, time 0m 9s
Epoch 57, train loss = 0.508, valid loss = 0.489, time 0m 9s
Epoch 58, train loss = 0.509, valid loss = 0.487, time 0m 9s
Epoch 59, train loss = 0.505, valid loss = 0.485, time 0m 9s
Epoch 60, train loss = 0.505, valid loss = 0.485, time 0m 9s

Select best Epoch:
Epoch 20, train loss = 0.505, valid loss = 0.501, Spearmanr = -0.96
Epoch 40, train loss = 0.508, valid loss = 0.487, Spearmanr = -0.73
Epoch 60, train loss = 0.505, valid loss = 0.485, Spearmanr = 0.10
Final Epoch: 40

valid for train3:
  tp=103, tn=50, fp=26, fn=18
  se=0.8512, sp=0.6579, acc=0.7766, mcc=0.521, auc=0.810


processing train4:

Epoch 1, train loss = 0.625, valid loss = 0.523, time 0m 9s
Epoch 2, train loss = 0.568, valid loss = 0.492, time 0m 9s
Epoch 3, train loss = 0.552, valid loss = 0.486, time 0m 9s
Epoch 4, train loss = 0.523, valid loss = 0.487, time 0m 10s
Epoch 5, train loss = 0.527, valid loss = 0.483, time 0m 10s
Epoch 6, train loss = 0.539, valid loss = 0.484, time 0m 10s
Epoch 7, train loss = 0.520, valid loss = 0.482, time 0m 10s
Epoch 8, train loss = 0.520, valid loss = 0.484, time 0m 10s
Epoch 9, train loss = 0.526, valid loss = 0.485, time 0m 10s
Epoch 10, train loss = 0.523, valid loss = 0.481, time 0m 10s
Epoch 11, train loss = 0.519, valid loss = 0.489, time 0m 10s
Epoch 12, train loss = 0.514, valid loss = 0.485, time 0m 10s
Epoch 13, train loss = 0.519, valid loss = 0.487, time 0m 10s
Epoch 14, train loss = 0.516, valid loss = 0.484, time 0m 10s
Epoch 15, train loss = 0.504, valid loss = 0.487, time 0m 10s
Epoch 16, train loss = 0.509, valid loss = 0.482, time 0m 10s
Epoch 17, train loss = 0.511, valid loss = 0.487, time 0m 10s
Epoch 18, train loss = 0.510, valid loss = 0.480, time 0m 10s
Epoch 19, train loss = 0.509, valid loss = 0.478, time 0m 10s
Epoch 20, train loss = 0.506, valid loss = 0.477, time 0m 10s
Epoch 21, train loss = 0.513, valid loss = 0.477, time 0m 10s
Epoch 22, train loss = 0.505, valid loss = 0.486, time 0m 10s
Epoch 23, train loss = 0.509, valid loss = 0.481, time 0m 10s
Epoch 24, train loss = 0.502, valid loss = 0.480, time 0m 10s
Epoch 25, train loss = 0.500, valid loss = 0.482, time 0m 11s
Epoch 26, train loss = 0.514, valid loss = 0.488, time 0m 11s
Epoch 27, train loss = 0.503, valid loss = 0.477, time 0m 11s
Epoch 28, train loss = 0.506, valid loss = 0.481, time 0m 11s
Epoch 29, train loss = 0.507, valid loss = 0.475, time 0m 11s
Epoch 30, train loss = 0.510, valid loss = 0.483, time 0m 11s
Epoch 31, train loss = 0.511, valid loss = 0.484, time 0m 11s
Epoch 32, train loss = 0.505, valid loss = 0.482, time 0m 11s
Epoch 33, train loss = 0.502, valid loss = 0.484, time 0m 11s
Epoch 34, train loss = 0.515, valid loss = 0.486, time 0m 11s
Epoch 35, train loss = 0.513, valid loss = 0.482, time 0m 11s
Epoch 36, train loss = 0.500, valid loss = 0.478, time 0m 11s
Epoch 37, train loss = 0.510, valid loss = 0.485, time 0m 11s
Epoch 38, train loss = 0.504, valid loss = 0.483, time 0m 11s
Epoch 39, train loss = 0.492, valid loss = 0.479, time 0m 11s
Epoch 40, train loss = 0.509, valid loss = 0.484, time 0m 11s

Select best Epoch:
Epoch 20, train loss = 0.506, valid loss = 0.477, Spearmanr = -0.51
Epoch 40, train loss = 0.509, valid loss = 0.484, Spearmanr = 0.19
Final Epoch: 20

valid for train4:
  tp=96, tn=52, fp=24, fn=25
  se=0.7934, sp=0.6842, acc=0.7513, mcc=0.476, auc=0.795


processing train5:

Epoch 1, train loss = 0.621, valid loss = 0.565, time 0m 11s
Epoch 2, train loss = 0.563, valid loss = 0.512, time 0m 11s
Epoch 3, train loss = 0.541, valid loss = 0.525, time 0m 11s
Epoch 4, train loss = 0.531, valid loss = 0.518, time 0m 11s
Epoch 5, train loss = 0.525, valid loss = 0.516, time 0m 12s
Epoch 6, train loss = 0.523, valid loss = 0.524, time 0m 12s
Epoch 7, train loss = 0.527, valid loss = 0.526, time 0m 12s
Epoch 8, train loss = 0.512, valid loss = 0.520, time 0m 12s
Epoch 9, train loss = 0.510, valid loss = 0.527, time 0m 12s
Epoch 10, train loss = 0.530, valid loss = 0.530, time 0m 12s
Epoch 11, train loss = 0.518, valid loss = 0.532, time 0m 12s
Epoch 12, train loss = 0.500, valid loss = 0.532, time 0m 12s
