processing 1650: epoch 1, 1650 / 13496, avg loss = 35.779, valid = 56.33%, unique = 56.33%, time 4h 15m 29s
processing 1660: epoch 1, 1660 / 13496, avg loss = 35.226, valid = 65.31%, unique = 65.31%, time 4h 16m 60s
processing 1670: epoch 1, 1670 / 13496, avg loss = 35.454, valid = 66.33%, unique = 66.33%, time 4h 18m 30s
processing 1680: epoch 1, 1680 / 13496, avg loss = 36.015, valid = 63.05%, unique = 63.05%, time 4h 20m 4s
processing 1690: epoch 1, 1690 / 13496, avg loss = 35.977, valid = 63.52%, unique = 63.52%, time 4h 21m 38s
processing 1700: epoch 1, 1700 / 13496, avg loss = 35.593, valid = 61.33%, unique = 61.33%, time 4h 23m 12s
processing 1710: epoch 1, 1710 / 13496, avg loss = 35.231, valid = 61.95%, unique = 61.95%, time 4h 24m 44s
processing 1720: epoch 1, 1720 / 13496, avg loss = 34.908, valid = 57.03%, unique = 57.03%, time 4h 26m 17s
processing 1730: epoch 1, 1730 / 13496, avg loss = 35.008, valid = 64.06%, unique = 64.06%, time 4h 27m 49s
processing 1740: epoch 1, 1740 / 13496, avg loss = 35.263, valid = 61.17%, unique = 61.17%, time 4h 29m 21s
processing 1750: epoch 1, 1750 / 13496, avg loss = 35.382, valid = 56.25%, unique = 56.25%, time 4h 30m 54s
processing 1760: epoch 1, 1760 / 13496, avg loss = 34.663, valid = 60.31%, unique = 60.31%, time 4h 32m 28s
processing 1770: epoch 1, 1770 / 13496, avg loss = 35.132, valid = 66.72%, unique = 66.72%, time 4h 33m 58s
processing 1780: epoch 1, 1780 / 13496, avg loss = 34.992, valid = 63.36%, unique = 63.36%, time 4h 35m 32s
processing 1790: epoch 1, 1790 / 13496, avg loss = 35.272, valid = 64.53%, unique = 64.45%, time 4h 37m 5s
processing 1800: epoch 1, 1800 / 13496, avg loss = 35.166, valid = 65.78%, unique = 65.78%, time 4h 38m 39s
processing 1810: epoch 1, 1810 / 13496, avg loss = 34.805, valid = 68.44%, unique = 68.44%, time 4h 40m 10s
processing 1820: epoch 1, 1820 / 13496, avg loss = 35.433, valid = 61.88%, unique = 61.88%, time 4h 41m 42s
processing 1830: epoch 1, 1830 / 13496, avg loss = 34.595, valid = 65.08%, unique = 65.08%, time 4h 43m 15s
processing 1840: epoch 1, 1840 / 13496, avg loss = 35.182, valid = 64.84%, unique = 64.84%, time 4h 44m 48s
processing 1850: epoch 1, 1850 / 13496, avg loss = 34.876, valid = 61.17%, unique = 61.17%, time 4h 46m 22s
processing 1860: epoch 1, 1860 / 13496, avg loss = 34.850, valid = 65.86%, unique = 65.86%, time 4h 47m 54s
processing 1870: epoch 1, 1870 / 13496, avg loss = 34.462, valid = 69.77%, unique = 69.77%, time 4h 49m 25s
processing 1880: epoch 1, 1880 / 13496, avg loss = 34.953, valid = 65.23%, unique = 65.23%, time 4h 50m 58s
processing 1890: epoch 1, 1890 / 13496, avg loss = 34.677, valid = 64.45%, unique = 64.45%, time 4h 52m 30s
processing 1900: epoch 1, 1900 / 13496, avg loss = 35.210, valid = 65.39%, unique = 65.39%, time 4h 54m 2s
