SMILES,Name,Aromatic_SMILES,Kekulized_SMILES,InChiKey
CC(C)[C@@H](C(=O)OCc1c(c(sc1C(=O)OC)N)C(=O)OC)NS(=O)(=O)c2cccc(c2)Cl,Decoys_2682,COC(=O)c1sc(N)c(C(=O)OC)c1COC(=O)[C@@H](NS(=O)(=O)c1cccc(Cl)c1)C(C)C,COC(=O)C1=C(COC(=O)[C@@H](NS(=O)(=O)C2=CC=CC(Cl)=C2)C(C)C)C(C(=O)OC)=C(N)S1,GDOWHCPQXOYTPC-HNNXBMFYSA-N
CSCC[C@@H](C(=O)NNS(=O)(=O)c1ccccc1C(F)(F)F)NS(=O)(=O)c2cc(cc(c2)C(F)(F)F)C(F)(F)F,Decoys_2683,CSCC[C@H](NS(=O)(=O)c1cc(C(F)(F)F)cc(C(F)(F)F)c1)C(=O)NNS(=O)(=O)c1ccccc1C(F)(F)F,CSCC[C@H](NS(=O)(=O)C1=CC(C(F)(F)F)=CC(C(F)(F)F)=C1)C(=O)NNS(=O)(=O)C1=CC=CC=C1C(F)(F)F,BBRDRSQQUWWSRL-HNNXBMFYSA-N
COc1ccc(c(c1OC)OC)[C@@H](CC(=O)OC)c2c(c(c(c3c2oc(cc3=O)c4ccccc4)O)O)O,Decoys_2684,COC(=O)C[C@H](c1ccc(OC)c(OC)c1OC)c1c(O)c(O)c(O)c2c(=O)cc(-c3ccccc3)oc12,COC(=O)C[C@H](C1=CC=C(OC)C(OC)=C1OC)C1=C(O)C(O)=C(O)C2=C1OC(C1=CC=CC=C1)=CC2=O,XVBHJHSLASYAHQ-MRXNPFEDSA-N
CCOc1ccc(cc1OC)[C@@H]2CC3=C([C@@H](Nc4ccccc4N3)c5cc(c(c(c5)OC)O)[N+](=O)[O-])C(=O)C2,Decoys_2685,CCOc1ccc([C@H]2CC(=O)C3=C(C2)Nc2ccccc2N[C@H]3c2cc(OC)c(O)c([N+](=O)[O-])c2)cc1OC,CCOC1=CC=C([C@H]2CC(=O)C3=C(C2)NC2=CC=CC=C2N[C@H]3C2=CC([N+](=O)[O-])=C(O)C(OC)=C2)C=C1OC,YPGWWTUKKRPLAV-UULLZXFKSA-N
CCOc1ccc(cc1OC)[C@H]2CC3=C([C@H](Nc4ccccc4N3)c5cc(c(c(c5)OC)O)[N+](=O)[O-])C(=O)C2,Decoys_2686,CCOc1ccc([C@@H]2CC(=O)C3=C(C2)Nc2ccccc2N[C@@H]3c2cc(OC)c(O)c([N+](=O)[O-])c2)cc1OC,CCOC1=CC=C([C@@H]2CC(=O)C3=C(C2)NC2=CC=CC=C2N[C@@H]3C2=CC([N+](=O)[O-])=C(O)C(OC)=C2)C=C1OC,YPGWWTUKKRPLAV-YMGMXPECSA-N
COc1cc(cc(c1O)[N+](=O)[O-])[C@@H]2C3=C(C[C@@H](CC3=O)c4cc(c(c(c4)OC)OC)OC)Nc5ccccc5N2,Decoys_2687,COc1cc([C@H]2Nc3ccccc3NC3=C2C(=O)C[C@@H](c2cc(OC)c(OC)c(OC)c2)C3)cc([N+](=O)[O-])c1O,COC1=CC([C@H]2NC3=CC=CC=C3NC3=C2C(=O)C[C@@H](C2=CC(OC)=C(OC)C(OC)=C2)C3)=CC([N+](=O)[O-])=C1O,DJYXDWKMHGDAOI-KUNJGFBQSA-N
COC(=O)c1cc(c(c(c1)/C=N/NC(=O)c2cc(ccc2)Br)O)/C=N/NC(=O)c3cc(ccc3)Br,Decoys_2688,COC(=O)c1cc(/C=N/NC(=O)c2cccc(Br)c2)c(O)c(/C=N/NC(=O)c2cccc(Br)c2)c1,COC(=O)C1=CC(/C=N/NC(=O)C2=CC(Br)=CC=C2)=C(O)C(/C=N/NC(=O)C2=CC(Br)=CC=C2)=C1,SZUQFCCTZSQWPF-ZDMXEENZSA-N
c1cc(sc1)C2=NN([C@@H](C2)c3ccc(cc3)F)C(=O)CSc4[nH]c(=O)c5cnn(c5n4)c6ccc(cc6)S(=O)(=O)N,Decoys_2689,NS(=O)(=O)c1ccc(-n2ncc3c(=O)[nH]c(SCC(=O)N4N=C(c5cccs5)C[C@H]4c4ccc(F)cc4)nc32)cc1,NS(=O)(=O)C1=CC=C(N2N=CC3=C2N=C(SCC(=O)N2N=C(C4=CC=CS4)C[C@H]2C2=CC=C(F)C=C2)NC3=O)C=C1,YHEPBJSEXCFXCM-NRFANRHFSA-N
c1cc(sc1)C2=NN([C@H](C2)c3ccc(cc3)F)C(=O)CSc4[nH]c5c(cnn5c6ccc(cc6)S(=O)(=O)N)c(=O)n4,Decoys_2690,NS(=O)(=O)c1ccc(-n2ncc3c(=O)nc(SCC(=O)N4N=C(c5cccs5)C[C@@H]4c4ccc(F)cc4)[nH]c32)cc1,NS(=O)(=O)C1=CC=C(N2N=CC3=C2NC(SCC(=O)N2N=C(C4=CC=CS4)C[C@@H]2C2=CC=C(F)C=C2)=NC3=O)C=C1,YHEPBJSEXCFXCM-OAQYLSRUSA-N
c1ccc(cc1)COc2ccc(cc2)C(=O)NN3[C@@H](Nc4ccc(cc4C3=O)Br)c5cc(ccc5O)[N+](=O)[O-],Decoys_2691,O=C(NN1C(=O)c2cc(Br)ccc2N[C@H]1c1cc([N+](=O)[O-])ccc1O)c1ccc(OCc2ccccc2)cc1,O=C(NN1C(=O)C2=CC(Br)=CC=C2N[C@H]1C1=CC([N+](=O)[O-])=CC=C1O)C1=CC=C(OCC2=CC=CC=C2)C=C1,IDNCGJNBTVSPSX-AREMUKBSSA-N
