  Frame #         RMSD         rGyr      intraHB        MolSA         SASA          PSA
      165        0.910        5.568            0      471.784       92.805      148.749
      166        0.911        5.439            0      465.982       84.453      152.199
      167        0.967        5.481            0      467.263       96.127      148.772
      168        1.008        5.519            0      462.555       86.045      141.784
      169        0.995        5.481            0      464.488      101.829      146.251
      170        0.929        5.534            0      469.463       84.529      147.576
      171        0.913        5.560            0      467.660       86.725      145.797
      172        0.934        5.507            0      471.984       96.626      144.582
      173        1.011        5.485            0      467.664       77.461      147.731
      174        0.943        5.481            0      469.961       73.583      145.836
      175        1.013        5.531            0      470.222       97.273      153.063
      176        0.936        5.457            0      471.816       76.611      157.739
      177        0.966        5.431            0      463.706       81.120      150.102
      178        0.866        5.542            0      472.925      105.821      150.722
      179        0.930        5.414            0      470.095       88.947      146.681
      180        0.943        5.538            0      471.886      102.708      142.898
      181        0.989        5.356            0      464.968      100.639      153.413
      182        0.957        5.520            0      467.947       88.855      146.457
      183        0.880        5.508            0      471.841       77.769      146.989
      184        0.947        5.552            0      469.877       78.485      149.190
      185        0.986        5.492            0      467.520       95.936      150.782
      186        0.905        5.547            0      473.596       88.124      140.017
      187        0.958        5.487            0      472.612       78.786      141.289
      188        1.012        5.480            0      466.524       80.861      145.332
      189        0.972        5.530            0      469.639       94.170      146.339
      190        0.976        5.594            0      470.309       97.932      149.034
      191        0.999        5.384            0      465.707       83.897      150.865
      192        0.992        5.484            0      469.707       94.124      143.710
      193        0.933        5.480            0      469.435       79.650      146.456
      194        0.980        5.617            0      471.867       98.692      146.680
      195        0.971        5.464            0      470.346       72.346      145.861
      196        1.012        5.478            0      467.166       89.045      146.228
      197        0.887        5.482            0      471.375       82.371      149.146
      198        0.927        5.514            0      472.034       94.462      149.397
      199        0.910        5.458            0      466.655       92.681      149.591
      200        0.924        5.484            0      472.206       86.176      151.818
      201        0.893        5.462            0      472.142       66.730      143.173
      202        1.023        5.434            0      467.201       94.908      154.903
      203        0.918        5.590            0      473.613       85.661      152.600
      204        1.076        5.358            0      473.064       72.828      147.745
      205        1.126        5.398            0      469.891       70.686      156.788
      206        1.021        5.628            0      476.716       90.552      146.619
      207        1.129        5.701            0      470.709      111.167      143.496
      208        1.189        5.688            0      472.959       88.752      146.136
      209        1.117        5.632            0      470.804       97.301      141.269
      210        1.077        5.652            0      472.996       88.384      143.011
      211        1.192        5.633            0      468.218      133.458      145.667
      212        1.115        5.658            0      477.280      110.238      147.837
      213        1.173        5.733            0      471.211      100.563      148.967
      214        1.117        5.672            0      471.905       91.207      144.868
      215        1.140        5.684            0      472.830      142.640      146.825
      216        1.120        5.487            0      467.002       84.965      147.706
      217        1.122        5.506            0      470.222       86.840      144.354
      218        0.911        5.498            0      465.469       86.403      145.159
      219        0.848        5.540            0      473.956      101.976      145.951
      220        0.958        5.697            0      476.483      104.104      149.197
      221        0.937        5.564            0      474.926       85.586      148.530
      222        0.920        5.400            0      464.236       77.151      149.510
      223        0.972        5.512            0      469.311       80.597      142.366
      224        0.908        5.536            0      472.700       87.931      150.332
      225        0.963        5.455            0      464.212       80.335      148.994
      226        0.973        5.503            0      467.019       90.965      147.635
      227        1.079        5.339            0      457.409       75.297      154.415
      228        0.961        5.481            0      469.153       76.808      153.252
      229        0.814        5.487            0      470.293       90.407      145.279
      230        1.259        5.312            0      463.212       74.890      149.917
      231        1.137        5.494            0      468.945       97.767      153.468
      232        1.109        5.399            0      465.783       81.505      151.183
      233        1.184        5.326            0      463.569       80.060      148.304
      234        1.215        5.481            0      466.461       99.525      157.310
      235        1.199        5.376            0      466.117       52.965      143.201
      236        1.185        5.452            0      465.993       77.473      137.389
      237        1.223        5.437            0      469.143       72.058      150.972
      238        1.130        5.400            0      469.682       79.717      149.570
      239        1.224        5.337            0      463.052       63.545      158.372
      240        1.136        5.472            0      470.894      104.382      150.921
      241        1.195        5.397            0      463.150       82.018      143.652
      242        1.062        5.399            0      463.626       94.991      153.437
      243        1.180        5.405            0      469.590       79.922      150.071
      244        1.183        5.374            0      467.567       69.072      147.883
      245        1.132        5.364            0      467.695       65.242      149.699
      246        1.080        5.410            0      466.240       74.619      150.431
      247        1.136        5.428            0      468.672       75.534      149.488
      248        1.210        5.406            0      469.934       60.628      148.999
      249        1.195        5.317            0      465.035       53.800      157.706
      250        1.149        5.381            0      470.100       67.573      154.518
      251        1.260        5.375            0      463.934       76.524      148.659
      252        1.302        5.341            0      468.582       60.992      146.423
      253        1.169        5.423            0      464.229       62.453      139.304
      254        1.182        5.416            0      466.025       70.635      153.030
      255        1.148        5.361            0      472.299       75.669      147.812
      256        1.221        5.332            0      464.573       68.530      150.050
      257        1.084        5.488            0      470.194       62.707      155.570
      258        1.101        5.467            0      467.099       76.170      152.753
      259        0.887        5.566            0      472.999       86.585      148.279
      260        0.895        5.542            0      470.519       89.655      147.339
      261        0.953        5.408            0      469.272       96.482      153.242
      262        0.871        5.606            0      473.087       87.791      141.058
      263        0.988        5.437            0      469.301       77.673      147.372
      264        0.870        5.519            0      473.749       71.955      151.358
      265        0.902        5.626            0      476.594       75.665      152.363
      266        0.957        5.492            0      467.760       75.359      151.143
      267        0.817        5.514            0      473.593       85.151      151.586
      268        0.860        5.473            0      471.123       83.316      146.911
      269        0.837        5.495            0      469.596       94.895      144.627
      270        0.882        5.609            0      475.319       77.341      150.879
