  Frame #         RMSD         rGyr      intraHB        MolSA         SASA          PSA
      241        1.109        5.535            1      445.706       93.137      195.253
      242        0.917        5.569            1      449.803       78.160      194.167
      243        0.779        5.558            1      449.055       93.930      192.170
      244        1.071        5.609            1      450.258       81.814      188.754
      245        0.842        5.635            1      452.627       84.614      192.278
      246        0.902        5.595            1      449.955       98.277      189.872
      247        0.950        5.615            1      449.064      100.862      189.461
      248        0.932        5.562            1      450.920       82.281      192.253
      249        0.859        5.515            1      447.268       71.671      190.126
      250        1.146        5.609            1      450.236       97.184      195.858
      251        0.804        5.647            1      453.965      101.183      199.264
      252        1.129        5.591            1      450.789       75.035      194.159
      253        1.121        5.559            1      445.752       81.667      191.786
      254        1.076        5.560            1      447.574       83.982      190.515
      255        1.187        5.587            1      455.349      111.547      197.698
      256        0.930        5.575            1      453.010       96.272      187.025
      257        1.078        5.510            1      449.105       87.876      188.675
      258        1.072        5.517            1      447.796      101.546      185.071
      259        1.266        5.572            1      451.690      103.983      190.333
      260        0.824        5.547            1      449.623       98.675      194.537
      261        0.927        5.589            1      449.115       88.142      192.016
      262        1.076        5.518            1      444.265       67.644      190.125
      263        0.933        5.553            1      449.651       79.234      193.494
      264        0.978        5.662            1      451.187       87.397      189.899
      265        1.149        5.565            1      446.609       74.695      191.897
      266        1.121        5.562            1      446.084       84.450      183.500
      267        0.968        5.529            1      449.880       91.335      189.424
      268        1.142        5.565            0      451.163      109.033      188.862
      269        1.025        5.527            1      450.439       75.737      192.161
      270        1.012        5.592            1      449.116      108.007      197.029
      271        1.118        5.591            1      451.553      101.306      188.469
      272        0.970        5.613            1      447.446       90.136      197.550
      273        1.150        5.514            1      450.882       81.694      187.262
      274        1.075        5.516            1      443.421       92.312      193.177
      275        1.114        5.579            1      451.031       98.814      195.634
      276        0.885        5.579            1      449.776      102.096      196.363
      277        1.049        5.559            1      445.196       83.254      187.616
      278        0.952        5.524            1      450.930      111.237      193.301
      279        1.096        5.546            1      447.516      100.059      186.782
      280        1.106        5.534            1      448.822      105.123      183.996
      281        0.696        5.578            1      449.088      106.854      196.028
      282        0.804        5.534            1      448.139      144.986      194.519
      283        0.944        5.530            1      448.898       84.489      200.394
      284        1.125        5.585            1      455.499       88.939      199.686
      285        1.208        5.571            1      450.574       87.148      192.910
      286        1.130        5.552            1      446.842       89.431      187.065
      287        1.376        5.545            1      450.174       89.087      192.942
      288        0.871        5.551            1      450.666       94.249      192.589
      289        1.027        5.604            1      452.094       79.603      197.824
      290        0.954        5.588            1      450.955      105.536      194.284
      291        1.055        5.544            1      450.271       91.329      197.401
      292        0.987        5.527            1      448.632      102.591      188.761
      293        0.816        5.572            1      446.249      113.663      198.213
      294        0.852        5.546            1      447.816      126.670      196.560
      295        0.879        5.611            1      450.741      123.289      193.161
      296        0.914        5.571            1      447.911      104.276      198.387
      297        0.899        5.562            1      451.189      136.762      191.168
      298        0.881        5.587            1      449.891      109.006      193.344
      299        0.797        5.602            1      450.606      103.260      199.076
      300        0.757        5.478            1      447.986       85.823      191.479
      301        1.051        5.582            1      452.845       95.799      195.691
      302        0.942        5.585            1      450.866      109.688      193.322
      303        0.987        5.583            1      448.511      103.012      194.946
      304        1.094        5.570            1      449.065       93.072      193.547
      305        1.003        5.625            0      453.386      110.486      197.197
      306        0.930        5.577            1      451.950       72.559      191.287
      307        1.057        5.585            1      453.486       94.150      190.472
      308        1.185        5.559            1      447.452       86.994      189.237
      309        0.998        5.551            1      446.503       80.457      190.939
      310        1.010        5.545            1      450.384       70.842      189.994
      311        1.027        5.615            1      448.373       71.444      191.914
      312        1.248        5.556            1      450.413       97.283      195.122
      313        1.041        5.615            1      451.981       99.775      186.550
      314        1.046        5.535            1      445.992       95.497      188.768
      315        1.093        5.535            1      445.174       91.173      192.480
      316        1.017        5.642            1      453.742       88.305      189.383
      317        0.948        5.563            0      447.877       69.260      186.616
      318        0.947        5.608            1      448.058       84.293      192.851
      319        0.985        5.609            1      449.745       98.429      194.156
      320        0.866        5.517            1      446.974       64.463      195.273
      321        0.859        5.582            1      447.901       95.899      191.800
      322        0.894        5.593            1      449.832       76.909      191.179
      323        0.881        5.552            1      450.234       77.192      192.052
      324        0.894        5.565            0      449.951       75.207      184.698
      325        1.069        5.542            1      446.281       82.964      183.080
      326        0.846        5.573            1      448.971       89.125      195.607
      327        0.677        5.512            1      446.551       75.832      188.427
      328        0.975        5.580            0      451.129       65.702      194.856
      329        1.269        5.558            1      448.676       63.076      188.869
      330        0.858        5.610            1      451.237       83.797      187.197
      331        0.923        5.503            1      445.816       62.181      190.463
      332        1.060        5.546            1      444.912       86.262      183.954
      333        0.883        5.531            1      448.382       62.616      193.770
      334        0.768        5.666            1      450.711       69.300      196.102
      335        0.641        5.556            1      448.445       76.712      194.536
      336        0.955        5.566            1      449.583       79.070      191.883
      337        1.098        5.555            0      446.274       68.812      193.203
      338        0.733        5.531            1      449.534       54.083      193.218
      339        0.984        5.504            1      448.704       63.729      190.436
      340        0.894        5.555            1      446.669       60.882      188.925
      341        1.062        5.572            1      448.447       75.016      184.124
      342        0.986        5.579            1      446.009       66.151      191.996
      343        1.071        5.562            1      447.758       73.418      189.453
      344        0.901        5.571            1      452.729       81.327      194.996
      345        0.788        5.568            1      448.360       63.328      190.300
      346        1.111        5.501            1      446.220       72.059      192.027
      347        0.809        5.596            1      450.131       85.984      189.132
      348        0.833        5.586            0      451.276       70.512      197.812
      349        0.750        5.483            1      452.151       73.414      193.892
      350        0.797        5.596            1      449.881       90.307      193.260
      351        0.991        5.529            1      446.705       63.297      189.705
      352        1.138        5.585            1      447.152       96.315      198.443
      353        0.922        5.565            1      452.373       95.367      192.922
      354        1.300        5.563            1      449.234       97.921      190.096
      355        0.784        5.581            1      454.576       80.305      192.579
      356        1.005        5.608            1      450.839      102.700      191.614
      357        0.750        5.505            1      446.666      115.013      190.216
      358        0.842        5.626            1      450.028      108.508      198.145
      359        0.848        5.524            1      447.849       96.919      187.463
      360        0.942        5.607            1      453.601      107.587      191.172
      361        0.692        5.596            1      451.942       92.535      192.224
      362        0.701        5.462            1      445.130       77.975      193.772
      363        0.953        5.597            1      445.022       89.546      196.485
      364        0.920        5.499            1      443.954       70.254      192.861
      365        0.973        5.523            1      445.822       78.999      187.532
      366        0.835        5.516            1      450.353       89.764      186.922
      367        0.872        5.579            1      451.486       98.343      190.562
      368        0.950        5.582            1      450.206      106.321      188.385
      369        1.067        5.580            1      448.786      106.368      190.120
      370        0.823        5.555            1      448.649      101.556      184.376
      371        0.920        5.493            1      450.180       96.603      185.194
      372        0.865        5.514            1      447.189      100.251      190.523
      373        0.861        5.563            1      449.544       98.686      187.469
      374        0.957        5.476            1      444.493      101.182      188.715
      375        1.111        5.569            1      449.184      116.668      188.096
      376        1.025        5.584            1      449.114      157.714      190.765
      377        1.015        5.538            1      448.302      139.530      190.045
      378        0.754        5.592            1      452.486      130.201      194.313
      379        0.781        5.619            1      452.777      116.850      186.396
      380        0.624        5.544            1      451.365      120.768      192.790
      381        0.712        5.514            1      451.310      147.752      187.961
      382        0.576        5.528            1      446.750      103.110      190.876
      383        0.505        5.562            1      452.137      127.589      192.267
      384        0.584        5.583            1      450.184      101.304      201.610
      385        0.440        5.574            0      450.625      118.204      188.270
      386        0.496        5.422            1      445.883      107.961      195.125
      387        0.593        5.597            1      450.102      118.822      196.496
      388        0.614        5.563            1      450.889       99.196      192.119
      389        0.567        5.558            1      446.188       85.744      193.417
      390        0.407        5.565            1      450.908      154.300      187.536
      391        0.404        5.467            1      451.768      113.928      185.051
      392        0.550        5.577            1      448.398      134.068      193.763
      393        1.055        5.596            1      449.269      114.936      191.056
      394        1.136        5.621            1      451.311      168.821      185.682
      395        1.117        5.618            1      452.850      133.200      196.063
      396        1.208        5.600            1      449.671      118.955      193.406
      397        1.141        5.653            1      451.423      112.518      183.246
      398        1.165        5.514            1      447.108      111.500      185.380
      399        1.402        5.538            0      449.197       84.386      190.375
      400        1.168        5.609            1      452.633      113.911      182.332
      401        1.061        5.586            1      451.850      113.682      190.381
      402        1.020        5.593            1      450.841      112.155      188.972
      403        1.002        5.487            1      449.651       37.177      185.493
      404        1.101        5.452            1      445.012       62.233      191.218
      405        1.096        5.387            1      447.234       75.828      196.656
      406        0.843        5.605            1      449.639      116.954      193.669
      407        0.922        5.549            1      454.014      112.610      191.581
      408        0.691        5.469            1      448.251       97.728      189.875
      409        0.726        5.549            1      450.612       90.083      193.253
      410        0.801        5.617            1      450.873       75.937      188.122
      411        0.869        5.553            1      449.411      105.652      194.623
      412        0.661        5.536            1      445.357      105.093      189.618
      413        0.855        5.519            1      448.323       99.575      185.231
      414        0.884        5.579            1      447.669       95.736      195.102
      415        0.841        5.515            1      447.213      112.489      188.586
      416        0.685        5.538            1      450.230       81.189      185.945
      417        0.678        5.555            1      447.935      116.269      189.700
      418        1.049        5.571            1      448.935      125.811      193.581
      419        1.004        5.540            1      444.846       91.596      198.720
      420        0.963        5.548            1      450.732      100.404      191.839
      421        0.860        5.545            1      447.491      109.528      193.916
      422        0.802        5.575            1      449.004       93.053      187.779
      423        0.906        5.631            1      452.153       97.980      187.263
      424        0.840        5.541            1      451.031      102.587      190.727
      425        1.060        5.622            1      452.392       94.721      193.831
      426        0.725        5.445            1      447.179       73.870      190.448
      427        0.751        5.572            1      451.587      110.443      187.462
      428        0.872        5.608            1      452.638       89.680      197.828
      429        0.861        5.543            1      450.688       88.693      189.218
      430        0.929        5.520            1      447.353       89.744      194.670
      431        1.073        5.466            1      448.973       98.124      185.434
      432        0.871        5.530            0      450.790      106.320      196.658
      433        0.836        5.543            1      447.329       95.496      196.904
      434        0.625        5.546            1      446.178       77.439      190.702
      435        0.698        5.559            1      449.847       80.376      186.828
      436        0.774        5.562            1      449.000       89.845      195.246
      437        0.582        5.527            1      448.208       86.025      192.821
      438        0.844        5.527            1      449.552       90.674      188.992
      439        0.851        5.517            1      450.394       94.540      190.902
      440        0.624        5.547            1      451.733       86.145      193.241
      441        0.629        5.526            1      450.157       86.153      188.520
      442        0.931        5.536            1      447.411       71.571      190.059
      443        0.505        5.514            1      447.931       69.641      190.834
      444        0.653        5.544            1      450.937       80.489      191.104
      445        0.824        5.539            1      449.420       76.501      199.941
      446        0.692        5.539            1      446.760       83.174      191.594
      447        0.668        5.554            1      449.727       86.193      187.794
      448        0.882        5.568            1      448.422      111.543      192.439
      449        0.728        5.560            1      447.631       82.788      190.265
      450        0.744        5.510            1      451.994       86.545      190.230
      451        0.686        5.611            1      451.601       89.061      189.822
      452        0.735        5.611            1      447.292       69.972      193.490
      453        0.658        5.598            1      450.017       80.281      192.977
      454        0.583        5.530            1      448.631       77.502      197.778
      455        0.701        5.603            1      451.731       65.610      192.335
      456        0.649        5.473            1      448.729       70.102      198.148
      457        0.910        5.539            1      449.489       69.296      194.075
      458        0.810        5.508            1      452.158       85.531      196.647
      459        0.701        5.617            1      450.161      104.926      188.967
      460        0.731        5.577            1      449.826       71.618      188.935
      461        0.621        5.531            1      450.078       80.729      192.673
      462        0.681        5.521            1      453.864       60.191      192.397
      463        0.653        5.526            1      452.266       66.415      188.214
      464        0.832        5.618            1      451.416       86.666      191.786
      465        0.842        5.510            1      446.575      107.751      186.555
      466        0.904        5.547            1      450.720       96.084      189.771
      467        0.779        5.510            1      447.282       85.512      189.758
      468        0.705        5.519            1      445.158       92.292      189.270
      469        0.866        5.561            1      450.122      100.336      192.592
      470        1.033        5.573            1      449.315       95.148      199.231
      471        1.127        5.574            1      449.112      107.202      192.562
      472        1.023        5.589            1      452.638      114.175      194.133
      473        0.943        5.556            1      447.248      113.621      189.258
      474        0.723        5.568            1      448.153      103.363      187.877
      475        1.050        5.545            1      447.668      107.889      189.715
      476        0.996        5.575            1      448.423      119.274      193.480
      477        0.759        5.614            1      451.034       66.555      192.478
      478        0.705        5.596            1      450.524       75.619      191.946
      479        0.542        5.481            1      447.728       84.406      192.607
      480        0.592        5.610            1      452.312       85.940      181.624
      481        0.671        5.498            1      448.184       63.492      195.381
      482        0.645        5.529            1      452.609       66.775      193.063
      483        0.610        5.527            1      447.035       94.453      195.006
      484        0.662        5.546            1      444.305       79.651      190.506
      485        0.833        5.596            1      450.963       80.147      183.944
      486        0.801        5.548            1      448.826       64.654      190.059
      487        0.651        5.572            1      448.714       80.585      196.565
      488        0.695        5.593            1      448.443       80.118      188.012
      489        0.873        5.592            1      448.106       69.713      199.533
      490        0.653        5.544            1      447.974       83.646      182.607
      491        0.809        5.604            1      449.676       76.187      193.340
      492        0.858        5.549            1      446.040       88.074      192.741
      493        0.760        5.636            1      452.847      102.816      189.760
      494        0.660        5.589            1      450.912       73.288      193.479
      495        0.576        5.643            1      453.217       85.552      193.136
      496        0.619        5.645            1      453.938       97.229      194.522
      497        0.757        5.543            1      450.065       70.462      192.696
      498        0.610        5.545            0      450.466      104.172      188.391
      499        0.605        5.500            1      450.506       82.963      193.720
      500        0.556        5.516            1      450.964       84.073      191.278
      501        0.833        5.592            1      450.087      112.730      189.153
      502        0.772        5.549            1      448.493       85.711      189.905
      503        0.697        5.542            1      445.007      121.242      199.827
      504        0.864        5.569            1      448.335      117.307      183.940
      505        0.724        5.489            1      449.056      120.059      193.728
      506        0.538        5.568            1      449.996      135.381      186.511
      507        0.587        5.533            1      447.578      117.652      184.457
      508        0.686        5.522            1      449.746       97.496      190.897
      509        0.716        5.464            1      445.720       90.434      193.277
      510        0.779        5.492            1      444.360       82.596      190.160
